"sys_loadingid","sys_cdc","sys_checksum","lieferdienstid","name","telefon","fax","email","strasse","hausnummer","plz","ort","land"
1,I,0x55f9acf1abd4340695e170dcfa8ed8309bf247ba73c67fd35e04153d9fca3a2d,"48",Stierle KGaA,"06062/48845203","06062/75113092",elfi-fletcher@trashmail.none,Kölner Landstraße,"20","64756",Mossautal,Hessen
1,I,0x6c7be01d65528ad9993e61da636ff8d1338bac7665f555d91fd1782d920f0e1b,"2",Paffrath KG,"06771/70040255","06771/13768143",dietwolfbaldus@ultramail.none,Haßlinghauser Straße,"129","56346",Prath,Rheinland-Pfalz
1,I,0xa57bbfc27fa3630b15bf88ba3ef552f3d6635bcaf6634c4e3e484d33ffeb766c,"79",Klie GbR,"05657/36025438","05657/67531676",w.1970@justmail.none,Sonnenau,"183","37297",Berkatal,Hessen
1,I,0x33f7d581d2b8bb02dbb00f1fdb019f8f7a34b1c8e2de2c20521147fc92660d0a,"5",Wiuha AG,"02685/89993779","02685/55035117",carstahalbe@live-mail.none,Am Hövelwald,"162","56593",Horhausen,Rheinland-Pfalz
1,I,0xe852430767feb357d24d6989ac51001261a8cc3fd5b1a3557fa235376da7fb85,"21",Job und Meuter KG,"02747/20665831","02747/73262546",smeuter@xyz.none,Am Schloßpark,"94","57520",Molzhain,Rheinland-Pfalz
1,I,0xeae76e71d25bc863b02ff70b08959b236f136698ea4560cfc69f761e9931c351,"15",Friede und Cordes GbR,"05276/94558789",,relindis.cordes@company.none,Am Steg,"113b","37696",Marienmünster,Nordrhein-Westfalen
1,I,0x4b74ecba29f2ab99b2176bd845753d370bfa3f0710a45110c056651e750af65f,"71",Leyh OHG,"0651/10247182","0651/44869967",helmtraut.23@net-mail.none,Hoogeweg,"77","54316",Schöndorf,Rheinland-Pfalz
1,I,0x8ec8237ef9eddd931d58845a9a5a5d00d80ab9c07d83e78cd4954de5cfcf45c6,"61",Aac AG,"04862/65847671",,reinaldachenbach@email.none,Schmittenstraße,"113","25832",Kotzenbüll,Schleswig-Holstein
1,I,0x69607b727315edfc145b12e54bf317d67cb278c20c08bf8c178939c438bc0d64,"29",Raatz KG,"05722/61539037","05722/40297200",xaver_himmelsbach@xyz.none,Höhenweg,"9","31707",Heeßen,Niedersachsen
1,I,0x7702d4ff8a9b9b5b51825dcac1eab41dbc90357041c20370f148318d299bc829,"14",Knott GmbH & Co. KG,"02741/10284331","02741/45592866",aloistesch@anymail.none,Herborner Straße,"106","57584",Scheuerfeld,
1,I,0x18eea7864dad5e2554a09da2cd04dece6ac195cddf2b16d1a1573fdb5b9a34a8,"52",Neuoh GmbH,"05807/86920665","05807/75178869",siegmar_ohlig@kitty.none,Lohmühle,"120","29575",Altenmedingen,Niedersachsen
1,I,0x731f040662e383eae849d6d1337b7488fae875a8d62fc25a5196a1d392f04af4,"65",Kliemann KGaA,"04462/34526811","04462/29742430",carlotta.kliemann@spam-mail.none,Wacholderweg,"81","26409",Wittmund,Niedersachsen
1,I,0x9c49278ff2f754b03a293bb289069b78314c079e3dd389892c48f5d365057da1,"30",Brabas OHG,"07732/12225060","07732/83324109",evabasse@web.none,Angstweg,"160","78315",Radolfzell am Bodensee,Baden-Württemberg
1,I,0x7f09208e79e5e7406480f6e1232e7a8869cb3bb9cca100668323271f21ae5ce9,"22",Alba OHG,"0391/88163421","0391/94025133",ehrentraud_bartmann@web.none,Matterhornstraße,"10","39126",Magdeburg,
1,I,0xa00c49e3f921d8428ff7e2ee9eccbfa1c14de22e23caa30d9dd7bfe0d5e6f4b1,"40",Quadt GbR,"06772/39215187","06772/54345294",anne-1991@company.none,Hohler Weg,"112","56355",Kehlbach,
1,I,0x547756dad5b74895987dd1c55d97f7096474d37bfbee9c019518cd8d334184b0,"13",Bayerlein UG,"04641/36998207","04641/37021352",tanja-eiden@mymail.none,Max-Winkelmann-Straße,"113","24392",Boren,Schleswig-Holstein
1,I,0xcf9ca1b917b9f1d1cd929cd5705abaf552424780c095aeaca2e5122637ea8e6b,"77",Farmer UG,"04681/20181607",,joachim_sachse@inter-mail.none,Bildstöckleweg,"15","25938",Alkersum,
1,I,0x12470ecdcddeb348d9a57586bdde8cc82286e5e238a5df486adeb8ce5baeae35,"46",Beetz KGaA,"04532/17315523","04532/31623512",erna-schneiders@email.none,Marienstraße,"44","22941",Hammoor,Schleswig-Holstein
1,I,0x6d5af28a9a83b75b09c209b70e10e2eb1e656087922dbaeaf7d3ee0b9e4fa797,"9",Joosten UG,"0911/12153081","0911/69974274",s.zanker@validmail.none,Grundstraße,"75","90587",Obermichelbach,Bayern
1,I,0x136c75b5d891079662a9f543cf73c91a2053a8b579937cc1c7e6b75fc92480d9,"80",Adrusch GmbH,"02671/55542840","02671/24418949",hansgeorgscharl@quickmail.none,Müssingen,"110","56812",Dohr,
1,I,0xbe527b74cd26320857ada74b271b7f0e48b96e457498dd1522a1be7ae031976b,"26",Reiner GbR,"04756/56505198","04756/57581786",m-sickinger@anymail.none,Fürkhofstraße,"196","21775",Odisheim,Niedersachsen
1,I,0x3191e544bd9b97958c458e95398a955882778dbdd888ab90d19c69e25ea9b3d8,"78",Gilles GmbH & Co. KG,"0281/79016326","0281/61113319",christopherjaenicke@funmail.none,Haus-Berge-Straße,"1","46483",Wesel am Rhein,
1,I,0x71b0594646cebd8ffdace43c390f978bb5ca2e6482e5be8e9a3d61697b799267,"64",Sm AG,"02684/41169738","02684/31714203",e29@email.none,Am Neray,"67","57639",Oberdreis,Rheinland-Pfalz
1,I,0x6cb6f9f335fd0dac9880a50fff332b7edab55fa7380c0583e3368e80f29a7967,"19",Bhei GmbH,"04244/14819342",,eheinzl@web.none,Bilker Allee,"196","27243",Winkelsett,Niedersachsen
1,I,0x0194815efb614fe1204a55b84a1a96454767bf93dc4a879e51ac76ceca88774d,"1",Leeb KGaA,"09082/13709651","09082/89300690",notker.1996@inter-mail.none,Ossenkampstiege,"47c","86732",Oettingen,Bayern
1,I,0x9bbf6e200f8f37825746b4b0294b8a641344729b862e27625e80db96c7598634,"38",Hill GmbH,"02274/83163938","02274/53219048",roseline.hintz@xyz.none,Meerheck,"111","27404",Elsdorf,Niedersachsen
1,I,0xf8c63ad6450c520ad623140f6e23e31e34840ea3e49997775f41526cd60f495b,"47",Pfund UG,"02842/14437184","02842/78544871",p_29@email.none,Homburger Straße,"161","47475",Kamp-Lintfort,Nordrhein-Westfalen
1,I,0x2e979f96239a5124c3e1b0b417f46ce684aef5c8fa9bf01bd1e9e0e12d3717c2,"76",Frnü AG,"07744/95197348","07744/30617300",g-nuebel@validmail.none,Offerkämpe,"198","79780",Stühlingen,Baden-Württemberg
1,I,0x3cf26102db8f2bb5ac6ae021706f674aaa4b989e09a376a4f22b2a88ff5da821,"18",Schwinghammer und Bill KG,"06503/72000083","06503/98821891",uschwinghammer@live-mail.none,Am Graben,"117","54413",Geisfeld,
1,I,0x5646ecc15d4e69843d5d383307e1f433fefc7ec4c40738068000d32f901fb0c3,"31",Obermüller und Trost GmbH,"06592/36458066","06592/35380548",gobermueller@live-mail.none,Köttinger Weg,"10","54550",Daun,
1,I,0x1498a7556e6fb20fdb7a49f65288f46e64faebf21410f1258edda415ecf0676f,"41",Nunez OHG,"05665/9712098","05665/62238144",helena_16@funmail.none,Parkweg,"105","34327",Körle,Hessen
1,I,0x6fcdaded7633f650700af2df97cf2234d1ecd3c152c4b1d0f6e6f4f434339a32,"36",Krumpholz und Seegers KGaA,"0511/14025779",,marieseegers@net-mail.none,Rölefeld,"172","30159",Hannover,Niedersachsen
1,I,0x96fc285472f1d34606d2fa8f39a4986d1404210fece6ec72582bb30d9a14a00e,"54",Saile KG,"05271/7001688","05271/96234924",gangolfattenberger@inter-mail.none,Lohberg,"176","37697",Lauenförde,
1,I,0xd4f7bcde72a776921897a243f1057bec4581173412e63e779adaea68f9033479,"55",Cobb OHG,"02661/46998938","02661/9440892",akowalski@funmail.none,Hommersbergstraße,"138b","56470",Bad Marienberg,Rheinland-Pfalz
1,I,0xd6d0afec77f39ff9df9c65174393c484f13c23db9578b007131412e2b138b343,"73",Benja OHG,"0201/18521291","0201/75822057",l-1916@anymail.none,Am Oberbach,"180","45143",Essen,Nordrhein-Westfalen
1,I,0x1406e72c5715fe58b133d3d456d783d6429f95222c90be0ac0eadcff5fd57094,"66",Blafin GmbH,"05251/35559499","05251/39284441",margitta03@inter-mail.none,Römerweg,"67","33104",Paderborn,Nordrhein-Westfalen
1,I,0x636c4d51e43b1f72643d9afc12d03d23f63157ae41f9ed2485517a752fb13d4f,"27",Remus OHG,"08266/21909660",,valeska_lenkeit@goggle-mail.none,Hirtsgrunder Weg,"179","87757",Kirchheim,Bayern
1,I,0x8714ecd5abfc6f074a2bad4d950ac3db6990c57e4baf624f5b1bc1b628ab1e04,"42",Veigel GbR,"06564/6877980","06564/74132681",elly-heim@open-mail.none,Torweg,"120","54675",Sinspelt,Rheinland-Pfalz
1,I,0x092c94ea14925f3e50d951fe0dcc6b3b3dc1a40a02a23f60656772f343f4a8fd,"63",Riederer KG,"09964/15379471","09964/89939739",thilo.hessler@funmail.none,St. Margarethenstraße,"66","94372",Rattiszell,Bayern
1,I,0xcc77d4a5133685395e03fc172044748cf5ecf0c05e071d4f49bd8dcd3308c400,"33",Gorges AG,"07976/53459801","07976/78274926",gotthard_streicher@justmail.none,Salzmannstraße,"55","74429",Sulzbach-Laufen,Baden-Württemberg
1,I,0x4b4656df6f8224befc85bdc3aef79235e0b82a40c30f2079851a826d134b3066,"24",Hutterer UG,"05221/83729466","05221/20263688",anrich_juergensen@net-mail.none,Hohle Gasse,"22","32120",Hiddenhausen,Nordrhein-Westfalen
1,I,0x66b6e9f133a91f50b7b841a4ff05f316e4317139b4ec563252a64141357f62e9,"44",Filter GmbH & Co. KG,"02681/91757347","02681/21029570",mathis-maas@live-mail.none,Drovestraße,"49","57612",Idelberg,Rheinland-Pfalz
2,I,0xe99fee8809a27f20d1226c019c693618af4b0da858ad6aa13314d5f871dae7f3,"82",Grigo KG,"08024/94877480","08024/91629880",agnes24@trashmail.none,Weitscheidter Straße,"141","83626",Valley,Bayern
2,I,0x9c49278ff2f754b03a293bb289069b78314c079e3dd389892c48f5d365057da1,"81",Brabas OHG,"07732/12225060","07732/83324109",evabasse@web.none,Angstweg,"160","78315",Radolfzell am Bodensee,Baden-Württemberg
2,D,0x,"49",,,,,,,,,
2,D,0x,"30",,,,,,,,,
