"sys_loadingid","sys_cdc","sys_checksum","bestellungid","posid","produktid","spezlieferadrid","menge","preis"
1,I,0x58c106e7b35a8a67ab0342162149a25166fbd659f25258beac52eca248a1db9c,8,20,33,494,3,0.80
1,I,0xef1d7058ffe33130a2e51f20e9538be6652d56c89d6906e4e31e528a248e2a56,8,21,41,,3,1.20
1,I,0x771fadc0167c0190534301e74a7b1ccfeea66144c372aaf42612c65a8fe0caba,9,22,71,,6,4.00
1,I,0x3ebd756d01d16c3e4af1ab2708edd5785608b9dfe60865203db2dd7bb4c0b482,9,23,80,,3,4.00
1,I,0x2959950010cf51f17a0621f066974de240db0a79bfb1be58000de1620fbd5524,10,24,113,,3,4.50
1,I,0x0797b48ee4a4fbf600b282641f103a35ccef6f82c7c70436e5209208b81d7787,10,25,123,,6,3.00
1,I,0xf4867adf3453c1ba0cf75ae404fdeb4808e78daff01a97319d615cafeb31d421,10,26,6,,3,7.00
1,I,0xc98d4a86a8d2473d3d9d6f14e526f3a424cfdf3dd80be8b9272d20c7541f44e4,11,27,43,,3,2.30
1,I,0x4ed3baf6737e45e73577c94271191d1111d1287d2772cf2a14cf21b146ed3ab8,11,28,54,,3,5.00
1,I,0xaa601bbd9281a7e27419d5be77da8b44fcbf27b44e5333e46f20e511097c0bd8,12,29,94,,3,4.00
1,I,0xc3a1b51895e82a533bc30edf29ddcb88cb521a70b4e982837d941a12a371230a,12,30,106,422,3,7.00
1,I,0x542c2bd52587cacc2e81d8e10859537b1b206ab6e118adae6a71b34053e21e51,12,31,118,,3,6.00
1,I,0x6004b264e3da346770f3cddbe1f21b403e9b8a41326c804fa6f881fa830fd238,13,32,35,,4,1.00
1,I,0x8e7b86d076df1114dcd8b86819ea83f6f9e9e76abb0d74b7f67a2bfc66c0471d,13,33,48,,3,4.50
1,I,0x04114966bb99a3521a887f9776249606ec6ee45079330bb6fad17e897f3e6608,14,34,95,,4,2.00
1,I,0x57a53c3f0d5df31f04f0ff137f498d82091131b94e02a7155fd94338168316a7,14,35,109,287,10,3.00
1,I,0xc5201545c6bd736a112e8de15ead6cb13ec23855de4c9f036b93ea80ba186d1c,14,36,123,,3,3.00
1,I,0xa501b9eb0ca1e23d7d175ec2895054c39c21a5e83eba3887cfc318b126e9d951,15,37,47,,9,9.00
1,I,0x1e6eb9964e52b0c82987f5add53e06ef558eff1ec8284522a79bc2a184fbf86c,15,38,62,,3,4.00
1,I,0x79dd76f9444366ed7de04a216cbd63b76a74f5a44447f4ef28cf0a273544861a,16,39,116,,3,3.00
1,I,0xac4949929e70a0f48fab8533e078c2536f6023dbe48a383f8c9e22513ae5d133,16,40,5,,8,5.00
1,I,0x9920172f2cb7f5127c3dfed2099bd7dd617f2ca260b47b28b5f03115676201dd,16,41,21,,3,4.00
1,I,0x0b82585c292bd8bdb5540d4544766ebaf43822032955fc69f9b0fd0554177641,17,42,79,,6,1.50
1,I,0xbaee08d64365f5f4fcc8609fd7a1b173e84a9a97f9773ff3d7167f9bfdc3cfe3,17,43,96,,3,8.00
1,I,0x670ca9bb8e07ced81aa5f0409db5e450779cf17c8791c3b696ebee841639f899,18,44,30,,3,4.00
1,I,0x11d83c322cf6efd940647a28d57ea1e65fcadf45d5f8aa07929e4e528d760810,18,45,48,589,3,4.50
1,I,0x737c8bf0fddfdb30243ab373357b7bc9b333e62f0a0faf2a10054f759d2a7d8d,18,46,66,,3,3.00
1,I,0xc63142edb1a40c32f79dfdafd7757657de15357ad5e918c7df09fe5c961842d5,19,47,4,,8,5.00
1,I,0xcdeebd0fa4e17c5b9b1202cef7eb0c879c1685e2c63f640f113e32d9fa2c1f91,19,48,23,,3,3.00
1,I,0x45a6fea10df2ee7bf14b18d75b7bc813c867eb4fb58b3e5e572a93bce99e8e67,20,49,91,,8,1.20
1,I,0xc38929b4791f8bf2e0574a42c4325283e81c2a9733cd30e5c28869d13a4b322f,20,50,111,263,3,8.00
1,I,0x585dd12e60f43c6969e499ca9bb132ceea604dd6fc400ba37b5fcbf5e620a338,20,51,4,,3,5.00
1,I,0xfe0c83a1f370a766b0ef1bc2f8b41ec0f5d7a54f8f1c864963a117eebcf68e05,21,52,76,,3,4.00
1,I,0x39cbd3b252c2f9a651334c25b80709a7c6c8e00ee0c57d9ebfc44604c5030f26,21,53,97,,9,9.00
1,I,0xeff92e9a2c78804fb18d38038b21bec2824acb7ff9fcf97bb24dea9f370ccd6c,22,54,45,,3,2.00
1,I,0xedbe750e31d609d0f7f5ab100eb09cfbfd1336e41d063449ebb28bd56444128e,22,55,67,,10,3.50
1,I,0xd2ee688b9abc94f60e37e1a581a47aa3efdd2ea1ce4969f5c9b9dc155da898c2,22,56,89,,4,0.80
1,I,0xef1d7058ffe33130a2e51f20e9538be6652d56c89d6906e4e31e528a248e2a56,23,57,41,,3,1.20
1,I,0xe7ed63cade31c2a3ea18bf5d9db197a24e1dd6f86a7e3ac1319874ad64517149,23,58,64,,8,4.50
1,I,0x0bc71876a173bcd54559bdd9aca528f313593ea68f8bd035ebb939e5eafec5bf,24,59,19,,3,2.00
1,I,0xce216480556928b7f7a1c2d688ad76e5f16cadd1c9c0be9ec067ba77b0e9badb,24,60,43,321,3,2.30
1,I,0x78627fc10ee0a7583f54e7ca1175bacee13657c268823b76edab9860054b410a,24,61,67,,3,3.50
1,I,0xd5fc5e85efc9e5808892931d902ee254f3b3b32cc71cc24d687e3d81158a1b9d,25,62,26,,4,4.00
1,I,0x0351b26deb082ae69138083a19de0aa0052f9a611874cbb2fe6ac06138fcd560,25,63,51,,9,2.00
1,I,0x9a70482bfa95994db318525e389fbbd3e16f3bf9f45340e7fb9f55730620618e,26,64,13,,8,4.50
1,I,0xbb567f1b93f9abcd0b3632fd32aeda20c6700649dd264d5f1beb89e2ad83d23c,26,65,39,43,6,0.80
1,I,0x14f904e9a1a799c7a6da29a48ebc28a06118c2c61618bd6d89a2f2c0fd39f6d3,26,66,65,,3,4.50
1,I,0x2f88cd9f617db12c64fbca1b4c26de422145df27a75007411dc1a69791a7693b,27,67,31,,3,2.00
1,I,0x17da9348eb3d49f4f43512ee061d504471edf3ce414b50fe0f99ce4de9a37b06,27,68,58,,3,8.00
1,I,0x6d06cc46bcc84df457c9248e7ab1fed76aecc6b99e12b2858a3e091d8d480ff7,28,69,27,,3,2.00
1,I,0x63538db68766cce8dfed9912198cbcc596f50c4898cd347460eeb67bdc7d0208,28,70,55,,4,5.00
1,I,0x8c9d6a11a7aca5849f0b7e9ab88ad85224f42fb2f8c6f40f32ee9730ab5bdae7,28,71,83,,4,0.80
1,I,0x596b341663e6b38f6418395e81993845624b223938dfe1a732b6a9078f7d0b74,29,72,56,,3,7.00
1,I,0x74c4825b5e40c2fa33fc9e29cab94b76e51fe1d3198f03831ceab03ac3b9022c,29,73,85,,5,1.00
1,I,0x7d8d50e27035b4a229a2fffee3df3b360b9b07af32a278262639afacf9a1cbe5,30,74,61,,3,8.00
1,I,0x85ad5014039ed92dece3c1cff2f214ed7f20a9b04b3340d3346e2c133f7824fa,30,75,91,112,6,1.20
1,I,0x2bec9e95820e0b7cb7a1b7ed8688a4f66dc3aa2c04d93b6908871dea4f7b3082,30,76,121,,3,4.00
1,I,0xc8a18bc72cc205d882c4924513762710d82276c7464a991f6edbe148209e2c1f,31,77,101,,7,2.00
1,I,0x8e13435d3e33c690420bef4c7117728f041f058628095c771d7d366cd561af1c,31,78,5,,6,5.00
1,I,0xe8419e5a5a5ea946ec9a8db84564dfa81e5aafe53aec2329ea11edb9ea458e04,32,79,115,,8,4.50
1,I,0x2f1be2ad2a0487a609a354e64f44f982d65b6b869002ade2c75c04b5ee5efdc7,32,80,20,392,8,8.00
1,I,0x57582d8735e8df9ffe6d06aafee7e9f93f14d7e420b42b7a08bf1fa2007a5e03,32,81,52,,3,4.00
1,I,0x3d2e82319bb43a7c7d8f5504504da89985733d5d411dd8d3acc024c04631abe9,33,82,39,,6,0.80
1,I,0x526edf75af39dd0f10fe81a31cfffe129065c3ec9f7ebb99a6f45785a4430909,33,83,72,,3,2.00
1,I,0x1e6eb9964e52b0c82987f5add53e06ef558eff1ec8284522a79bc2a184fbf86c,34,84,62,,3,4.00
1,I,0xbaee08d64365f5f4fcc8609fd7a1b173e84a9a97f9773ff3d7167f9bfdc3cfe3,34,85,96,,3,8.00
1,I,0xe89832294ada2fa4f83fec82b571b297458125ca1c57768a13282c9cbb22024a,34,86,3,,3,5.00
1,I,0x28a6b46cba67a76e423497dc832f2cd8bbb49daee9245ed193d5a7b6a4ab9dd9,35,87,124,,3,3.00
1,I,0x1c76823c08a88bb537e090f899581d549dbc1e033f62ceb89d708e43cef29f2c,35,88,32,,4,5.00
1,I,0xb7c7dbb715cfe4086cf0d8b2f70ff3a1e8ace6d7cf8b47ab5efa8a0b8b071037,36,89,29,,3,1.50
1,I,0x4fb45fca1698b820efd9ece1139509f435babae1141530a6aec3cb022cf5a997,36,90,65,576,3,4.50
1,I,0xd76604faf15482129c9d12ec5ddf1e1d5dc9d05e8cabd839d14c62a7bea8f3c8,36,91,101,,3,2.00
1,I,0x5615ee5d5714102cf7761b0f60794489f63516fa1e12c5aa887d88852e410ac3,37,92,102,,3,4.00
1,I,0x7bfa9bdecc88d6955ea6ef22c3e20d3e445d2e4a5446a1b3967a5deaf15061f4,37,93,12,,3,4.00
1,I,0xbc7aa088ea7f676d4ea6b7baa9de3129f01ef1e3376ff2c40ed08eced33b04ea,38,94,16,,8,3.00
1,I,0xdca73780f091cfbb34c36afa5a39975dbb2634bf0893f7b137b0fc0ffea0ca1d,38,95,54,173,3,5.00
1,I,0xda5d1d2651779b12fd04d7d4811b71d51f81de03a489758ffdce77fbcdb86928,38,96,92,,3,2.40
1,I,0x7f3ead902b7d4d4837d22ddb42f6b951a64440748516dfc25b2caba53a772d8c,39,97,100,,3,5.60
1,I,0x7bfa9bdecc88d6955ea6ef22c3e20d3e445d2e4a5446a1b3967a5deaf15061f4,39,98,12,,3,4.00
1,I,0xcdeebd0fa4e17c5b9b1202cef7eb0c879c1685e2c63f640f113e32d9fa2c1f91,40,99,23,,3,3.00
1,I,0xf3ce2b5c7da499cd780cb5e9064b5b38109bf11e17ca4b49dbb89f850f09fc35,40,100,63,,3,4.50
1,I,0x7f563ebf21925c343c17b62a0972233eb053f98847247b0f1003d518aefcbd90,40,101,103,,8,5.00
1,I,0x542c2bd52587cacc2e81d8e10859537b1b206ab6e118adae6a71b34053e21e51,41,102,118,,3,6.00
1,I,0x1c76823c08a88bb537e090f899581d549dbc1e033f62ceb89d708e43cef29f2c,41,103,32,,4,5.00
1,I,0x4a461e9fc1db7b352506b51c3429454913d533c90d31bf2ffa28409c0775bee9,42,104,50,,3,5.60
1,I,0x9de8377d61c6ac12d79b932bfe023a4e66263a0f50a36bd1ab8e23d886a29d28,42,105,92,644,3,2.40
1,I,0x54a904f2aed9b0c10e9c8f0c79775760b605bab96acf7afecba2814bda317e59,42,106,7,,3,8.00
1,I,0xdb5a70c4f263a61b03bf01f871f7633864d8c348db469ebaab0f408fd3d3d163,43,107,29,,1,1.50
1,I,0x526edf75af39dd0f10fe81a31cfffe129065c3ec9f7ebb99a6f45785a4430909,43,108,72,,3,2.00
1,I,0x565cfa339889cc772194a654cd92cd6d8461ead08963a2ee544df6f744af70ca,44,109,97,,8,9.00
1,I,0xa13a9004f6c2769c3bfbff0f0acd6f15352670607cab64760f7020cb18b6f7cb,44,110,14,50,8,4.50
1,I,0x17da9348eb3d49f4f43512ee061d504471edf3ce414b50fe0f99ce4de9a37b06,44,111,58,,3,8.00
1,I,0xacd1a880fce487ee80ab56ed0db3c37aed67cde809112990008bff612027ba30,45,112,87,,3,0.50
1,I,0xc2ae3e3aa5c7fc7a93106fd206c858b81bbb2109e17a63eac3d9db3ea178bafe,45,113,5,,9,5.00
1,I,0x8781d77826ea253625491e71fcc678d91140bd8398e8cbb4644d288bb51d0c7c,46,114,37,,3,0.50
1,I,0xfb98246171f1f5203723b3d25e160f0d7f091329203bc0b90c122ac470d613aa,46,115,83,,2,0.80
1,I,0x23a6af1a6bb9d8602bce5b96665012f72658a7b686ae3a9ce67ee3541e0a2c3e,46,116,2,,4,4.00
1,I,0x62c7bd84f0aade8572a8818c223a16340e8fe9ef437372f472a9d5d9416ab4e0,47,117,38,,6,0.50
1,I,0x50d7a6c77b2a9e5593e93c1388b9b0f0879ea42dc1431c8df17dac0a13fd677e,47,118,85,,2,1.00
1,I,0x28a6b46cba67a76e423497dc832f2cd8bbb49daee9245ed193d5a7b6a4ab9dd9,48,119,124,,3,3.00
1,I,0x5cdffc6f22627b90e8a4904b9055d5cfcdd13ce11b307bd2ac9bf34a68edf7ee,48,120,45,396,3,2.00
1,I,0x876df57ccf59066a1e51e0836033c8d56952fe5c925b80fb5399bb8e1295b7fb,48,121,93,,3,2.30
1,I,0x69ea261491f7c9cd24f075643067311bd1867184736e163cf99f4bc444dd0143,49,122,9,,6,3.00
1,I,0xb3186e240f431b4734ddea86b2410c4cc580ff1ab1e4ea4a833c6865078daec7,49,123,58,,6,8.00
1,I,0x87cb9f1fe6178026200e33cd4d1f8f8cc00edf9876005249ab83fe428e60f893,50,124,104,,4,5.00
1,I,0x6445caa3d3264dfa50d3e302e1de7a246dbb345c1b149005f4781f77bdef22a6,50,125,27,36,6,2.00
1,I,0x5a13e98e722fba5f6a7154be9f614d29bb71aa3486f68c5c63eeea292ef30511,50,126,77,,3,2.00
1,I,0xe34780633ddf51831cfa05aa60ab1dd262f59f20301ce75e33a09257c08ab1b8,51,127,1,,9,2.00
1,I,0x37cbbb9a99ee384cb961751467278047a5582f6367bb58b046041cc1e2c39515,51,128,51,,3,2.00
1,I,0x5a0e5fdaf1814ac99b87d541ea3ee3792ee7b622925ec4c7c930ed608a5f8892,52,129,104,,3,5.00
1,I,0x97cc1556cfde9e3f92d1df57c544ee22ab5c3c7fc75a815e3000a54b4a67a74c,52,130,29,,8,1.50
1,I,0x99b3ad5314a5b0a151fdd312691b189ec10c51d81068cfcbdd06687d64ddf741,52,131,81,,3,2.00
1,I,0x12d7933dbce51937444c74eecbd67d470b1f1227bf14c24365b5f85d0490a216,53,132,11,,3,8.00
1,I,0xe7ed63cade31c2a3ea18bf5d9db197a24e1dd6f86a7e3ac1319874ad64517149,53,133,64,,8,4.50
1,I,0x28a6b46cba67a76e423497dc832f2cd8bbb49daee9245ed193d5a7b6a4ab9dd9,54,134,124,,3,3.00
1,I,0x3bded6a046c971529bf6e97f66068aa1b6b2dd67e394bc8d81a383e8795076d2,54,135,51,447,6,2.00
1,I,0x463b889b7d12cee18537f3a40c447fb816f6c330e8df539c19d2be26108dbf5a,54,136,105,,3,5.00
1,I,0xb5ff9cae095768cb674c2458e413db45638937afba2dffdcfeaad0dddc2bb338,55,137,42,,6,2.40
1,I,0x82c9480881a667048f9dce1f546e9e459c71fba0c24d56750e627f81f242c81c,55,138,97,,6,9.00
1,I,0xd30afe328cd75cdb3274c2516044bff4a7959099c5c6db9d4ef04207d8be1602,56,139,37,,8,0.50
1,I,0x252791d3a0f931e8df94ebf7f2234523df31a21b5e11aa2cf510900b0ba2e1c0,56,140,93,234,3,2.30
1,I,0xb52d6d1340177dfbc4eff7cd5c6c3bc820191f2d8aefe752f6348c9cd8e40466,56,141,22,,3,2.00
1,I,0x8217d7000e75edda31c58851d1ff83819b8ccb5417b10a4ac1c62434057ddaa9,57,142,93,,6,2.30
1,I,0x976c7c0afa87747a3e8ed5e1505b58828f8f0c673e7ea7875e326c98b321cc72,57,143,23,,9,3.00
1,I,0x08beb87af85c124e29989c744d2ef313d5ca07bef4a25f5ead8ccd5e2e9da245,58,144,97,,3,9.00
1,I,0x1a6c2b283b0b6930db1822d9b14574e9f6a01dd9128e9f79ce14e8923b2a29e3,58,145,28,,4,2.00
1,I,0x4c908cef68dda80a12c3da6793b3de5c5afb15be43b6ce131eca290e5e3406be,58,146,86,,4,0.50
1,I,0xc64763e186e369a2e858d3449cdf5d841c47ff9466a5d741946399f7678e9140,59,147,37,,9,0.50
1,I,0xbaee08d64365f5f4fcc8609fd7a1b173e84a9a97f9773ff3d7167f9bfdc3cfe3,59,148,96,,3,8.00
1,I,0x4a461e9fc1db7b352506b51c3429454913d533c90d31bf2ffa28409c0775bee9,60,149,50,,3,5.60
1,I,0x3641f87355827773a4312ce69ebbbc9c83a26a92c807d6ae010b0a17075f9e81,60,150,110,259,3,0.50
1,I,0xc98d4a86a8d2473d3d9d6f14e526f3a424cfdf3dd80be8b9272d20c7541f44e4,60,151,43,,3,2.30
1,I,0xe7b34e376d297edf15239a2657babd39584efae62b9dbe6ca7a63393823057b8,61,152,1,,8,2.00
1,I,0x3119ade1e70282e4f6f13913638cd6de7a5c55314e17a26c4befef9ded2bd2c9,61,153,62,,6,4.00
1,I,0x5e09abb1457b520448b7704921cc792da6cc938f33953d25090c22d0b5c4f79a,62,154,23,,4,3.00
1,I,0xa0a19ff870e5021e0e62cb95d24939c359a24391d47020539cbabc7c1bddac9d,62,155,85,104,10,1.00
1,I,0x6f14965a006ffd1852193a4c2471dd793a2f584a56224a9f1fe4ecef369cd4fb,62,156,20,,3,8.00
1,I,0xd33b1147d5be69597d2c2d0464e25e9f4f2606664d706794adf64ef14c43dc69,63,157,112,,3,4.00
1,I,0x8e7b86d076df1114dcd8b86819ea83f6f9e9e76abb0d74b7f67a2bfc66c0471d,63,158,48,,3,4.50
1,I,0x4cedeafea3c3a48402bb2cefe449e4a774b9c56b14392a5c49bb23912850a1e0,64,159,16,,3,3.00
1,I,0xad232456fb2258ee99a0db1937e0bbe9689002a8c26887b173f78b048a530b64,64,160,80,,8,4.00
1,I,0x29b04e07459aec06a1a81eef5223b8291deb2bcaa49e92adb93010dc83b1ea87,64,161,17,,4,3.50
1,I,0x79dd76f9444366ed7de04a216cbd63b76a74f5a44447f4ef28cf0a273544861a,65,162,116,,3,3.00
1,I,0xf254ff8449340540f64f29ec560b8267629e30ebdc2db6f47f3dc081d4732362,65,163,54,,6,5.00
1,I,0xb7c7dbb715cfe4086cf0d8b2f70ff3a1e8ace6d7cf8b47ab5efa8a0b8b071037,66,164,29,,3,1.50
1,I,0x4a23ed190fa99048c53a87d161ffa7118f3ddbb1755a5d9d9740d7b763bbc308,66,165,95,308,6,2.00
1,I,0x5eb85d69e80d8393c4803cc4308851e6115d07ee3f3b46b3942552dab38a5dbc,66,166,34,,3,0.75
1,I,0x1a4b5870fdf763d3c93167d351414299569b6e0b29f71a9710769e6fc162bdaf,67,167,13,,5,4.50
1,I,0x3ebd756d01d16c3e4af1ab2708edd5785608b9dfe60865203db2dd7bb4c0b482,67,168,80,,3,4.00
1,I,0xb07cf15c1682bb9e29a6f52f37644515f4d7c35dac5396fecc9b30c9ebe3d4ca,68,169,62,,4,4.00
1,I,0x6b785533efe1daa9fa0c0bc6fbc4abf2db599613594f8b95137ba1ec3c9b784c,68,170,3,125,3,5.00
1,I,0xfd05546779492ee3e2d5b8f4c562d1a3d1bcd358dc77a89c9cecca9ca24917ed,68,171,71,,3,4.00
1,I,0x81510d119448bb889c9ca2b7f1949e54a6bdbcde7ae56f9e8778e2028215c848,69,172,57,,3,8.00
1,I,0xb5977a6c9163080551323a19409a559c348f288aff787911a6f90ae79c2c17d1,69,173,126,,6,4.00
1,I,0xafa383f52f3af8f80561456ca6a52c637c79c06e03c867beca7bf3e3157c7d0d,70,174,115,,3,4.50
1,I,0x83d67bc498d34479b1c0c89e88d2140fb2a13c0de20be711a0c8460b79cdf34e,70,175,58,,4,8.00
1,I,0xe7b34e376d297edf15239a2657babd39584efae62b9dbe6ca7a63393823057b8,70,176,1,,8,2.00
1,I,0x2bec9e95820e0b7cb7a1b7ed8688a4f66dc3aa2c04d93b6908871dea4f7b3082,71,177,121,,3,4.00
1,I,0x2c10570d9939a8922845f55002052a314799498a08152086de8639a8a8fbd467,71,178,65,,10,4.50
1,I,0x7d8d50e27035b4a229a2fffee3df3b360b9b07af32a278262639afacf9a1cbe5,72,179,61,,3,8.00
1,I,0xaa177db3f13d00168515173c7e581f82871feaac018301272705010920352485,72,180,6,577,3,7.00
1,I,0xed2f143854addbb9799b320e90ed56d85509a490f098970a01c144c5b59773f1,72,181,78,,3,2.00
1,I,0xed2f143854addbb9799b320e90ed56d85509a490f098970a01c144c5b59773f1,73,182,78,,3,2.00
1,I,0xfe64165e4d3ccf858ba78b4bc20945f628fe42a6fbfae52cd92e4838e57ddfb7,73,183,24,,3,3.00
1,I,0x6d06cc46bcc84df457c9248e7ab1fed76aecc6b99e12b2858a3e091d8d480ff7,74,184,27,,3,2.00
1,I,0xf4c54e149bb43e6bd199bb74ddeca2fd6c06f343113cb695e74343a1e6135528,74,185,101,85,2,2.00
1,I,0x8e7b86d076df1114dcd8b86819ea83f6f9e9e76abb0d74b7f67a2bfc66c0471d,74,186,48,,3,4.50
1,I,0x9a902464e45d1f8e6928b7fd46c885d0ceeb87a07d9064d5fe6052457959f6f1,75,187,55,,3,5.00
1,I,0xe89832294ada2fa4f83fec82b571b297458125ca1c57768a13282c9cbb22024a,75,188,3,,3,5.00
1,I,0x372366ad6457554a2f7bab06e1e824de8c1ead85462bb5bc2547b182573eeb59,76,189,13,,3,4.50
1,I,0x423944fc4ff4c58b25c10f5e72f326f8cfc54e6058dd946148652d18a80c2532,76,190,89,,8,0.80
1,I,0xc14b90848ec922665afe0cc082d4e899dc54d7a1f390f4c7fb6b78c7292d7393,76,191,38,,4,0.50
1,I,0x57582d8735e8df9ffe6d06aafee7e9f93f14d7e420b42b7a08bf1fa2007a5e03,77,192,52,,3,4.00
1,I,0x8ba592ea48317cac3c3729fcdb78a2c68f2834fca72843a124b4caaf69ffc118,77,193,2,,10,4.00
1,I,0x0bc71876a173bcd54559bdd9aca528f313593ea68f8bd035ebb939e5eafec5bf,78,194,19,,3,2.00
1,I,0x9b223bdd216beda2e06d81408a91c49fbe736b012df46099ca5a10f3d8fa73b9,78,195,97,564,6,9.00
1,I,0x8e7b86d076df1114dcd8b86819ea83f6f9e9e76abb0d74b7f67a2bfc66c0471d,78,196,48,,3,4.50
1,I,0xce706ae29b0c797d701295d04d764965b32dbca0de0abd5fe4a2cad3d25e6de7,79,197,69,,3,2.00
1,I,0xcf1b2970232c9a57599b859cf0e9f3065980cfad5157e914f13729fb3dde25f3,79,198,21,,6,4.00
1,I,0xeff92e9a2c78804fb18d38038b21bec2824acb7ff9fcf97bb24dea9f370ccd6c,80,199,45,,3,2.00
1,I,0x152a53f45a01c1b93661bec643479719068e740cd7e424d13ed9d27d7e671fa3,80,200,125,27,8,7.00
1,I,0xed2f143854addbb9799b320e90ed56d85509a490f098970a01c144c5b59773f1,80,201,78,,3,2.00
1,I,0xd580b2d32937c5dfe7fb97cffbbc8612d0733184b501596d66e347562dba310b,81,202,106,,3,7.00
1,I,0x3eb09a24013e081e4ff50af00610ba2907ec6c3b0edec42438be1044d6543b2c,81,203,60,,3,0.50
1,I,0x13aaef6faa31715e892051b25c96ba52d3f42fde4b3b3c5ff66ffb50f7a08261,82,204,91,,3,1.20
1,I,0x12ed8b86144f67e28928edb5726de3ee01dbce49268f5512f89fb63488135c31,82,205,46,,4,8.00
1,I,0xe7b34e376d297edf15239a2657babd39584efae62b9dbe6ca7a63393823057b8,82,206,1,,8,2.00
1,I,0x79e8abbb06ca4809ee25aa6cb5e82a3471e9191aad6d8b56dc5aca2dc101fa39,83,207,36,,3,0.50
1,I,0xf41a17c2aaf39993ebad83227449de165ce3a21141c8e5c877ae5098c7ecacfa,83,208,119,,4,2.00
1,I,0x670ca9bb8e07ced81aa5f0409db5e450779cf17c8791c3b696ebee841639f899,84,209,30,,3,4.00
1,I,0x9aa7a393cdfa471c84bff58f540e313bb901e1fe40941d086a315aa1432ec3ac,84,210,114,251,3,4.50
1,I,0xfd05546779492ee3e2d5b8f4c562d1a3d1bcd358dc77a89c9cecca9ca24917ed,84,211,71,,3,4.00
1,I,0xc29326996d6c0d8a742671611fd3a4d95aedae95952cdd424d55bacb11934e8b,85,212,113,,4,4.50
1,I,0xfd05546779492ee3e2d5b8f4c562d1a3d1bcd358dc77a89c9cecca9ca24917ed,85,213,71,,3,4.00
1,I,0x1426f2554a360b46be7282c9295ec0f8ed07280fad3fec10bb8b3325c60594db,86,214,116,,4,3.00
1,I,0xedd77e78b60ff634db63322f52c1402752ebbd143b201267556e90b4f3aea502,86,215,75,199,6,7.00
1,I,0x5eb85d69e80d8393c4803cc4308851e6115d07ee3f3b46b3942552dab38a5dbc,86,216,34,,3,0.75
1,I,0x6637e3bae6779e6beee228084cf646b43d25a379d0ab4eac4dc5b8e0034661a3,87,217,83,,9,0.80
1,I,0xa3bc0a1875cc32a0d3fff5449db18109e9989b125b6a05dfddeabd8cf577a09b,87,218,43,,6,2.30
1,I,0xeb8d2bdaf083c6810415b2c45f195e4bb0ee04539044f3e0db1ad97fc4a0f1d2,88,219,95,,3,2.00
1,I,0x9700442b200b48300ae3a9b023d1a15cd786a63d2c758a614491defb8479bc65,88,220,56,,8,7.00
1,I,0x29b04e07459aec06a1a81eef5223b8291deb2bcaa49e92adb93010dc83b1ea87,88,221,17,,4,3.50
1,I,0xe55c21fa5d0c4e74423b8b3ab521676e8b976609b93e911bf23694eb6a12c4a6,89,222,73,,6,3.00
