"sys_loadingid","sys_cdc","sys_checksum","bestellungid","kundeid","allglieferadrid","bestelldatum","wunschdatum","rabatt"
1,I,0xb1f9a5583c71f0a62e3ae73f9b5dacf2756d2fa86939f3ccea56ca333d3553d7,19,"7",263,2022-03-05,2022-03-07,1.00
1,I,0xae8837d4ec17bbd60f97605d9db065c84353a78439c1cf95d6dd15d0d954cb40,20,"7",652,2022-03-05,2022-03-10,2.50
1,I,0xa451d18325a6920b80d0d2782b695ecd0def49cad0f7b3297ea100003117573d,21,"7",742,2022-03-05,2022-03-17,3.00
1,I,0x47f27081171f7b3cd033c9a94fe4ddc3d36f99bce6912406780087aa1f275a67,22,"8",22,2022-03-05,2022-03-09,2.00
1,I,0x53ab3735cabf8f8c29a4305cb105bd647a28f4c5fd2b84ae09842d98a142d35b,23,"8",321,2022-03-05,2022-03-08,1.50
1,I,0x9cf5a7842281ba2f08ab69e2ea2f6aaa014fbde048629b24859aae4a76232ee2,24,"8",792,2022-03-05,2022-03-08,1.50
1,I,0xcf6298f143ce9f6ef5bc9d5f287222d4176655bc2280e62d3b438eeac3f96c3e,25,"9",43,2022-03-05,2022-03-15,3.00
1,I,0x0a586c4156109d11d36667eabbb3e12c5110cd5c60de553d26145dde616ca449,26,"9",403,2022-03-05,2022-03-13,3.00
1,I,0x99db5907c580e22dc153a6b56cd48020ac4258e6288961ee4047b3fe1988182f,27,"9",599,2022-03-05,2022-03-08,1.50
1,I,0x39eb24b1ba0b71487190cd9ea58a8a82e4151b412cb4c75094239d650f0873ad,28,"10",93,2022-03-05,2022-03-14,3.00
1,I,0x92f6469843e5a91c846a6e8267c25679fe3b0dc257106b2b48cb55b4ea05a8ae,29,"10",112,2022-03-05,2022-03-13,3.00
1,I,0xff0d857642f7471ec1c89fe2a21b0a869db6f90c7b1a7ca969c42113e56ec667,30,"10",490,2022-03-05,2022-03-05,0.00
1,I,0xd8ea45bc1fb8935f70afe7546ec824658c9f791625afbbe285f714a249c7dbd6,31,"11",392,2022-03-05,2022-03-07,1.00
1,I,0x798556a4124cf568a98a176a822abc3ce4e3100ca9402cfefa1949dfa80a01b1,32,"11",469,2022-03-05,2022-03-13,3.00
1,I,0x4e42907dc64ba87196db14b66ec3476c384f281352fbc85b7a370939c9600135,33,"11",601,2022-03-05,2022-03-08,1.50
1,I,0x7ba0edc69114c68caa5382edf6ee3b6111e5d7de5f965bb34d5a9f7453b6d8c7,34,"12",239,2022-03-05,2022-03-16,3.00
1,I,0x7718225639f4da2fc92181b1ed2def9dedf949639de387c3438cc71b16d003cb,35,"12",576,2022-03-05,2022-03-05,0.00
1,I,0x45585707fd638b7d75006ac094f83fecf4d0c20f772355de155177518dc3a87a,36,"12",788,2022-03-05,2022-03-08,1.50
1,I,0x234d3f12ead42d68b90229681e0b1d8cf932d04b12a5e5f8a4b02cacf8e3d77a,37,"13",173,2022-03-05,2022-03-16,3.00
1,I,0x6c6b1988ed9dd81f7a1ea87a2d00542614bfdcf3bd90e7e1b3994da0b48a889b,38,"13",623,2022-03-05,2022-03-09,2.00
1,I,0x63d535dc8ba4c8b3b0014c2d7c2d883a74f7e55beffaad646d75f2e249bfb6be,39,"13",749,2022-03-05,2022-03-11,3.00
1,I,0xcbc04b532343af40ad97092dbbe43c49f1d1e247380d1fb885b015559fce770f,40,"14",514,2022-03-05,2022-03-15,3.00
1,I,0x8aa0d9b9c4e912ae73dfa8a3e92946bf2edd7722a22d0a9c6faa750ae1d8b9c2,41,"14",644,2022-03-05,2022-03-09,2.00
1,I,0x37d25267e10d52e0e68dd8df7c09a679ec8e7143c17b533e62f83340fce9c716,42,"14",735,2022-03-05,2022-03-05,0.00
1,I,0x61acc546a23b82363554058f7a80abb5c9172ee675a02040b43f689c549330e0,43,"15",50,2022-03-05,2022-03-10,2.50
1,I,0x4b6e4950edb4551fc44939fff59bea21eebf6d1344b6456a5cc603234d1eb360,44,"15",89,2022-03-05,2022-03-06,0.50
1,I,0x3a96399a3647b65756b865fd2360542bfa56b9ebbda8ed2b222806718d80c570,45,"15",414,2022-03-05,2022-03-05,0.00
1,I,0xddb238a1c2726de277b35ef648d95621f06f8ca576574d83e55ea8f0ed90ec53,46,"16",140,2022-03-05,2022-03-10,2.50
1,I,0x1cffaab2f4f7e100759370b9bda9f863c5d01775caafae5596b188fa28d289c4,47,"16",396,2022-03-05,2022-03-17,3.00
1,I,0x8ee136108f81de32ce78f6f12083aaeae2207151a77dd2f73e57c35e36bdb056,48,"16",678,2022-03-05,2022-03-14,3.00
1,I,0x792d4c7802d319a030a1ceed5303b2d0a03fba64a917a0a56b9725e5095f2ce9,49,"17",36,2022-03-05,2022-03-14,3.00
1,I,0x882bbbe1b30e0d438668e772e27f8544b2eda9aae770655fa88c447acc86b76f,50,"17",154,2022-03-05,2022-03-10,2.50
1,I,0x9b5626761baf243af6f1e9d6fcdddfbe84d9481824af9cda6c3ea9b07d0470b5,51,"17",763,2022-03-05,2022-03-08,1.50
1,I,0x234aa45e285d45c54063a8325e3e8c5b12cc72d125fc90e42e340635f15dc68a,52,"18",433,2022-03-05,2022-03-06,0.50
1,I,0x6436d90e4910b445bda3032ee4177f2da5bbfb3a407fb8dae169c4a13c900bdf,53,"18",447,2022-03-05,2022-03-11,3.00
1,I,0x0b51d5d9a635a956a3bb4d7c17e67e661e469b4f76f81857213d20a90598b9dd,54,"18",665,2022-03-05,2022-03-05,0.00
1,I,0xf289f170151f4e1e2a3fe25d8664a502a823ad9dd6b42316414daa31e5411053,55,"19",234,2022-03-05,2022-03-05,0.00
1,I,0xf0a5e5169f51f74538aad6b1ec427c608cbf89c2cc9cd76b42ef314db9e7dd2c,56,"19",593,2022-03-05,2022-03-18,3.00
1,I,0xe2ac3e5377afee5f3ab225893e77dbf562da1df365a9cbd6a6a2d47584dff7c6,57,"19",657,2022-03-05,2022-03-14,3.00
1,I,0x3b1327441487115feea474b10627e758a10956fb25591a9731c31f4c4aa30fce,58,"20",64,2022-03-05,2022-03-12,3.00
1,I,0x2d42c94b7a6a05b87ac58975b12bf602aa4149b65ee2d2bca1f8753964bf1d85,59,"20",259,2022-03-05,2022-03-16,3.00
1,I,0xac17e774c2335af67a83789cffe18a231ec2b8dd80e13ccba49c1b6ea90160b4,60,"20",755,2022-03-05,2022-03-05,0.00
1,I,0xb8188170d87008f9bf430cd10ad16b39a28dc75c3cb2aa498ca7580d0babb174,61,"21",104,2022-03-05,2022-03-19,3.00
1,I,0xd818f77252c078038eb18de611e8e3f669f8efe75708c075436ba3b50ecce422,62,"21",214,2022-03-05,2022-03-13,3.00
1,I,0x9762162fc63be5e111c4e77c544ab767a1c91c8ee01f2b806916f8e6ef921157,63,"21",726,2022-03-05,2022-03-08,1.50
1,I,0x77f735ab7abe0f2a858c0c57501e713e716d6e1f83b92ed5b6186c712335a67d,64,"22",56,2022-03-05,2022-03-19,3.00
1,I,0x78e52ebe042cd7d939574fe72780d1e1efcbdf0098d5882c86504527d58ad2cc,65,"22",308,2022-03-05,2022-03-15,3.00
1,I,0xd5e4ce2676013b0eff9cb6e56f2e867c196644ae34c0c666b873cf1b310ec8bc,66,"22",784,2022-03-05,2022-03-14,3.00
1,I,0x41b2e14ae4a4fee494bc29d81de2f1e8fc28ede5516df17671957718b8109bab,67,"23",125,2022-03-05,2022-03-10,2.50
1,I,0x82877908272d1c5d0fc0fc5e76b15a9e22195a84f3fa207343e2be463ced3c93,68,"23",363,2022-03-05,2022-03-14,3.00
1,I,0xa37a97129e335d82ecaf195c81dfbfbab4e2a3ca6a71545a3075342af5f3fc7b,69,"23",482,2022-03-05,2022-03-08,1.50
1,I,0xae1225dbdfcec421bea4666b3b916ad327bcb8c2c1284a117ec0d87f5f581dad,70,"24",297,2022-03-05,2022-03-05,0.00
1,I,0x6b4d5fbf7142b5df8774d2a117ffc7789ee2062b7065c8bcab437af6ea0a8581,71,"24",577,2022-03-05,2022-03-07,1.00
1,I,0x62b2a09e7688ba6b23fb0af2696b2cc60ab3a2ae8c2e2085c34608ed98dc1cae,72,"24",776,2022-03-05,2022-03-17,3.00
1,I,0x9028daab6f9c018b66a73a218a8b45fb0142423bc5580eabf572d2a3164d12bb,73,"25",85,2022-03-05,2022-03-15,3.00
1,I,0x681bde18c59e60693c229df6533377e02c5be5391d44403853c75a4f2f168f45,74,"25",615,2022-03-05,2022-03-05,0.00
1,I,0x2f9b9495718e088c771e7dacc2f34841ad39c5b5af2e62a1d4c50e2c27ea361e,75,"25",712,2022-03-05,2022-03-05,0.00
1,I,0x59f39d194d0ede52f2061849abcd1e0fd41870fe8c272d99e6ed658dd6f252e2,76,"26",147,2022-03-05,2022-03-17,3.00
1,I,0x7a32a1d339600ceae09ea9fcd1f64259f2308aa90d79ea487c28cf3e96562b54,77,"26",564,2022-03-05,2022-03-08,1.50
1,I,0x3c43874d8d2c95c9f4e9fac09e7897fa17b30237039c22230c31d6db5ff62c57,78,"26",670,2022-03-05,2022-03-05,0.00
1,I,0x5d3ce46266af53a381834020f77d91716481df85668659191bc2f00ccf8426d4,79,"27",27,2022-03-05,2022-03-08,1.50
1,I,0x6e4e480ab7803a3606522fbd60cca887e129072b6b7cdee61951c054f9c891aa,80,"27",291,2022-03-05,2022-03-05,0.00
1,I,0xb4cc8fb37605c4e87e6984ac5c30b1bf0376955bf9d517989030936b5d9da12b,81,"27",397,2022-03-05,2022-03-17,3.00
1,I,0x951c74637956ebeb548be378b71f29e5bb1a0eeb54070bbfbf98198efecb4c6d,82,"28",103,2022-03-05,2022-03-06,0.50
1,I,0x09f7996e685c9737318947cb61fdf0e98784b4e8267f8e610a7fca275374ca6d,83,"28",251,2022-03-05,2022-03-18,3.00
1,I,0x78f68ae145946fab6be5527478065281212a2b239fd36e106bb5abb6f60e9229,84,"28",338,2022-03-05,2022-03-17,3.00
1,I,0x0e611657298a14f908dff1d9ce0f3151f8876aed1e0626685e59becb7e30e9a0,85,"29",199,2022-03-05,2022-03-15,3.00
1,I,0x91dc5b912215b8b64f8784692f158f56fa980099168e667f21f1d6b5fd0a41cf,86,"29",313,2022-03-05,2022-03-13,3.00
1,I,0x2f5b632375555481781254e243e27c3edaae081e49b23c58dbc28c69a5048551,87,"29",474,2022-03-05,2022-03-08,1.50
1,I,0x07147461286a842acf3cadae314662d5101be24b2c343f04c8c41a11d68a2025,88,"30",77,2022-03-05,2022-03-16,3.00
1,I,0xbfedcd2778a77a04dc99492e653725807a9e214ff2025fc0e1dff25686c4fdfe,89,"30",276,2022-03-05,2022-03-14,3.00
1,I,0x12a16a61f6e3b19a238c5a9abeeae65a1e9ee400bfdc7b2b057f08dd88b71431,90,"30",607,2022-03-05,2022-03-05,0.00
1,I,0xe5543e062089bd4c0766db5ee6cf5e206c6fd33a66ba846c5d8fa80714840e09,91,"31",453,2022-03-05,2022-03-08,1.50
1,I,0x9a6653c73814fd5380515905af352f5386439ce053e0c2389c3d727dcf23ad82,92,"31",495,2022-03-05,2022-03-05,0.00
1,I,0xf828918ce041d309931523a4e6f5caf8567e874e9263be254fd8d501b418aad6,93,"31",768,2022-03-05,2022-03-14,3.00
1,I,0x52a5ccc768432128a6207511e2d42e2c404ab363c7e88278d7e7728c0517595a,94,"32",417,2022-03-05,2022-03-08,1.50
1,I,0xa7b725d0cd85a10e5837f45c71e3fe915c7f3a6b344a6cf570430b84231d6f36,95,"32",483,2022-03-05,2022-03-05,0.00
1,I,0xfc5e3b6d348012440f40f0d3252bb8c126c1c85e202532cc12970d99ee760bf8,96,"32",581,2022-03-05,2022-03-11,3.00
1,I,0xb6249ba43d26b91981776057b8aa1f57470b06148c718e0514681ee0fe47f78e,97,"33",13,2022-03-05,2022-03-06,0.50
1,I,0x8c486d8fa4fcb1da17fca5b0fb4cfea5c778fd7b53143b442ddd8b5c0eb142bd,98,"33",222,2022-03-05,2022-03-11,3.00
1,I,0x36a34e95a7c6db0833c1480aa3b78bf206b128c35a08afb8b3c42d5d6411d71f,99,"33",227,2022-03-05,2022-03-08,1.50
1,I,0x3db443dd39a6c8561795b6706d9f6f18e5e3b318fc2d456e0f59c8c227ffe3f2,100,"34",200,2022-03-05,2022-03-10,2.50
1,I,0x35dc74283e1f97a4bb64bdb2150ab2a4c0597047cedd50254068ea9bf2c243b2,101,"34",285,2022-03-05,2022-03-05,0.00
1,I,0xc7777aaa7dc28a8470eb9ed378d1b742dd9fdec31cc43168d874904ae0ecb09a,102,"34",506,2022-03-05,2022-03-17,3.00
1,I,0x6baa1caa7df8722504262f455c3b1ea03006f1ad2f2659b4bf6c8a421452a595,103,"35",130,2022-03-05,2022-03-15,3.00
1,I,0x289efd054e8694e55a2f8b428afa5f920a0a5f50073eb9b08480c894d242f409,104,"35",238,2022-03-05,2022-03-07,1.00
1,I,0x7f3c9454fd426afb467c259a953543c3ca5c66f38b52d859b874cfa9d92cadbc,105,"35",691,2022-03-05,2022-03-05,0.00
1,I,0x34e7f833fd7bd2ad50a682fe8c40449b4aaa283f68a74870baae25489c1cfe90,106,"36",289,2022-03-05,2022-03-09,2.00
1,I,0x884ae1ce57a4431466f4f970d441879a55768edae0316222f5dbe108389c489d,107,"36",636,2022-03-05,2022-03-17,3.00
1,I,0x274436d9f1d72452327120e64cb44e3f280adafe3e7fefb66c55cd640b65f30d,108,"36",666,2022-03-05,2022-03-08,1.50
1,I,0x1040d39dcfdd94b4589ce1dcfbf1fa15df5d81ae305d66ebf5f9ed0c9af598a0,109,"37",384,2022-03-05,2022-03-11,3.00
1,I,0xfde76d0902fbfa01463a2d55acef7d91685464503dcd5752401c0bd9a8ee80c2,110,"37",429,2022-03-05,2022-03-05,0.00
1,I,0x13960c088aa5851d2655cb306ad1968dd48061c92ba0bb6a7e019b15db6d32c0,111,"37",620,2022-03-05,2022-03-05,0.00
1,I,0x3d1bff9eb03aa2df427f7d31defc0b8ad8f9160184a9833a9286bf367f20040c,112,"38",215,2022-03-05,2022-03-10,2.50
1,I,0x6b9f5c7499e10c952996b68b2c0f3bb88c55bf3bee9c0486d270621760c2d163,113,"38",376,2022-03-05,2022-03-13,3.00
1,I,0xd9d956016ec7abd8cd173d09082919c61da467a7a9bce1d2c2797e460c8bff55,114,"38",464,2022-03-05,2022-03-11,3.00
1,I,0x5853c91accc4ebe3388eccd41e8f7044600274d4915cd6d99d08215fd8b5e939,115,"39",69,2022-03-05,2022-03-05,0.00
1,I,0x52ed7628c649387f267298a9d37b38eae82c84fbb7a7a642ffb4919cc46cbef6,116,"39",372,2022-03-05,2022-03-17,3.00
1,I,0xe5d75527ff66824d3eb0ad82d50b5046be4c89403428f0f42cc1384003ec4f18,117,"39",432,2022-03-05,2022-03-14,3.00
1,I,0xbdf996b86a6cb11dee11d5dc1060b8e439f38540fd09ea3a5fdff11535231e3a,118,"40",487,2022-03-05,2022-03-06,0.50
1,I,0x776f041ddd91302e6c53cc801dba596566b330d5d2eb8c5af0aaa2325b187b8d,119,"40",528,2022-03-05,2022-03-17,3.00
1,I,0x2d1e1f138ab3a476abc504127e6904a3fdb299a9866cbc4ce1a899465d5c4e8b,120,"40",679,2022-03-05,2022-03-05,0.00
1,I,0xeac8cf52cc7f588e43f2c05059c55d35e32279a59589c8a78c060b8f76d52988,121,"41",191,2022-03-05,2022-03-16,3.00
1,I,0x17a768ced8370132c23f3e8632c7441e6c019cfdd6de2ba2cd5f71250211fd6a,122,"41",502,2022-03-05,2022-03-19,3.00
1,I,0xc7b1ec1eda3c19649daaae94d4435abe7ea4e2902b5d9f0fbee312af910c09fc,123,"41",565,2022-03-05,2022-03-05,0.00
1,I,0x3baf9e547550bb4503420e56049c4aef877daec165ac9fcf0ad559a711b7af7f,124,"42",516,2022-03-05,2022-03-14,3.00
1,I,0x1bc025733a16741b27150901697c0c6ccfe75ed5ddb6d813e4d548dd0600c075,125,"42",718,2022-03-05,2022-03-10,2.50
1,I,0x68f3f907d616494b14d59df621ee2b4a281d869e4e4bb0fd37beab29e554b7dc,126,"42",747,2022-03-05,2022-03-17,3.00
1,I,0x3a1647e32b6520b2fde57449cbc6907215f2dc1ea560c184577401bcc46e943e,127,"43",109,2022-03-05,2022-03-18,3.00
1,I,0x008687c5a0651eb218380013f61952df14a34aca00ef592ce23ea32ca86ccd4a,128,"43",628,2022-03-05,2022-03-19,3.00
1,I,0x1c4e1631e584790fa2363be38b031a7902b3d24c5c5e20216c2046cfe98357d8,129,"43",680,2022-03-05,2022-03-05,0.00
1,I,0x804c42507b9ba2e8f32d998cfbfe1ec2d2485cbf69df8ca2689e3f1a2adea7a4,130,"44",159,2022-03-05,2022-03-05,0.00
1,I,0x3d2955890aa670b6ce6e3e6124962273fa5725e338a503d07a2a6ed84991587a,131,"44",705,2022-03-05,2022-03-05,0.00
1,I,0x1e4726e72d5cc15bfc59a3a8024cf60b25ad1ba80048e49ed4a811d0a4e709b3,132,"44",731,2022-03-05,2022-03-17,3.00
1,I,0x14de06d69feedff5ffc904d7db73e0d28cbf5971ccc0694a0bf5ee24d1093ab9,133,"45",48,2022-03-05,2022-03-14,3.00
1,I,0x49a02dc3b7137886a673ea45ef607ccf0f28a0eb638ca3eb102a533bb2a8ad17,134,"45",143,2022-03-05,2022-03-12,3.00
1,I,0x760b3e8c39117471010f7a46368cc464cb43345fbed78922b8a05eb2255d4d62,135,"45",727,2022-03-05,2022-03-05,0.00
1,I,0xbbc8c5918b892c2819467d839e48517b069bbc542715970fc26d910fa8d4bd06,136,"46",32,2022-03-05,2022-03-07,1.00
1,I,0xb5359a42a1205d1c52cc5e945c0a6c97b3ada32062d6ca446559d66b5f45190f,137,"46",368,2022-03-05,2022-03-06,0.50
1,I,0xe5e143afb346d98f3a24e903046df8afdcfbc0708edce3173a8b7f085dbb54fb,138,"46",456,2022-03-05,2022-03-08,1.50
1,I,0xafb14c4fcf4be0ecb46f24b38f73d22a4e62920708f9bf6d6b8e304c27122804,139,"47",6,2022-03-05,2022-03-14,3.00
1,I,0x767dd967eadeaafbe132462a3bddfb84c12487163769fe27f23341383eb2da20,140,"47",331,2022-03-05,2022-03-10,2.50
1,I,0xed9b7f51c13933d18acc5969343fb4891729e990babf05e4e8c1ef2ce70895e7,141,"47",424,2022-03-05,2022-03-14,3.00
1,I,0xb3a5d4d7f8976d44d72c1a77adf6e4fe85181a6a4adc8d7362ff555dd5b34cc8,142,"48",210,2022-03-05,2022-03-05,0.00
1,I,0xb6bbd340f6fe901e18e91bf4a79233342a14aa9db85e8e224c3391a8520d906d,143,"48",326,2022-03-05,2022-03-18,3.00
1,I,0x5647c9e8df716ced46829bb0c0f8243b6a280e7a742d8c3175840e1c3854fdeb,144,"48",777,2022-03-05,2022-03-08,1.50
1,I,0x9792dab14547fcae073182e9f2ca3a3596745b434933787b317dc387327d5c7c,145,"49",507,2022-03-05,2022-03-05,0.00
1,I,0x3e247348a130c6dd3c49e66becdb83e016bb9fd8b4a699f1d3b13ab548efb220,146,"49",523,2022-03-05,2022-03-13,3.00
1,I,0xf8b01aaa16314c1342e25f902817ef568665ff3504e6d0cf31356933bd21265e,147,"49",641,2022-03-05,2022-03-17,3.00
1,I,0xa445dc245191f8c6b5f2d84164b9f84c9600d760b9ae8975780a1a21dd09d3d0,148,"50",355,2022-03-05,2022-03-15,3.00
1,I,0x2cab8a1b8531bb8a3f2f1a1e3120da5916d2ad42d52662e7552d6053b89cff3b,149,"50",358,2022-03-05,2022-03-07,1.00
1,I,0x3d3826b0a4bd7fae0f98cb2f7fe7e59aa6ed5d391d5077d3bfcf4436c9e6bdee,150,"50",533,2022-03-05,2022-03-05,0.00
1,I,0x1d765528311ceccef6984c6ff2cc60d5a00827d924571a8fa0b919afff731edf,151,"51",19,2022-03-05,2022-03-09,2.00
1,I,0x7f80448940db4cbbdd3e7b6431103c7453d6c891edbd819708aff101e92f1c73,152,"51",252,2022-03-05,2022-03-14,3.00
1,I,0x7c23712d39073a2c53ab2b1b348d86f207d10e3df1925ebff461d91d531c17cd,153,"51",277,2022-03-05,2022-03-11,3.00
1,I,0x201316b7595fb4f5d0c972fc71dcdf07d7da8df7b28ab2dd3008f43a128120a3,154,"52",336,2022-03-05,2022-03-14,3.00
1,I,0x947277a4ddc933e5ca567af76aabc070a11a271a05d428a9d4383df0f4e6effa,155,"52",401,2022-03-05,2022-03-15,3.00
1,I,0x36c3e53add55a02be248730e98e3fe0539615bdd99121afa968e1be615b2ae73,156,"52",789,2022-03-05,2022-03-14,3.00
1,I,0xe1191fde3416e4cf40afda8db9140d9854cfabf97a508238c383d9920961cfd1,157,"53",170,2022-03-05,2022-03-10,2.50
1,I,0x8d22f0010bdf9217cac25ec8c74f877b1b624201e479b5b038b2a4d87aa83aba,158,"53",398,2022-03-05,2022-03-09,2.00
1,I,0x965a228965f58fe259561b89ce7d5bf37a1ab418cfb91d57129c3fce36ed84d5,159,"53",463,2022-03-05,2022-03-17,3.00
1,I,0xf71c5f1a7366e9170cc45a4a7533bc653b0ee2964327abdeea6e79bbcc25b5a3,160,"54",28,2022-03-05,2022-03-15,3.00
1,I,0x4c21aeac0bb5039835c1fe4b4b6c15375e76dbcf5acd7040300f140a69bc4617,161,"54",290,2022-03-05,2022-03-15,3.00
1,I,0x31bc62497aee11fb3de3152050721f8f3c228dd5ffe3c1c0694e0a9ca64e699b,162,"54",606,2022-03-05,2022-03-17,3.00
1,I,0xd71298efe0f723ced34e224fbb79447008ac14c90cbc22e4a358dd237f49028d,163,"55",90,2022-03-05,2022-03-05,0.00
1,I,0x2d157c8dfee4a40e23e43ff21dd3a60123070766ad8c164f31486ccf9192f066,164,"55",496,2022-03-05,2022-03-19,3.00
1,I,0x9e395dd22ded4e4c7a9648ce08a72ae3c0f72f7b6e7571cf0568c4899b7d7ca0,165,"55",497,2022-03-05,2022-03-05,0.00
1,I,0x20cfece59d597202d01fccd33bdbdd12b823811f2010ed99e4123f286e6a9c09,166,"56",117,2022-03-05,2022-03-17,3.00
1,I,0xcd9186d489c7067e2afba958089ce9ca57be206121603e3c84ce5e3777161236,167,"56",650,2022-03-05,2022-03-15,3.00
1,I,0x4e6e57ab792febe01c9ad998181699ed1156398b443c5256c0efccc1e4296e74,168,"56",744,2022-03-05,2022-03-17,3.00
1,I,0x140f17ef2ea88718cb93405684439b2ce9caf15a6974168f6501938e9d5eea99,169,"57",78,2022-03-05,2022-03-17,3.00
1,I,0x439b098ce2a5791737c589089eb5a5f80a774ccc79fc7b96622bf29edfe05d1d,170,"57",269,2022-03-05,2022-03-15,3.00
1,I,0x4c6752826cfe3aa23d87ecb6cf512fa872841bb317eb33cff6af6f317b8558bf,171,"57",471,2022-03-05,2022-03-11,3.00
1,I,0x9e30fd3d8c3c897097425f5d56aa42e68606df27abf22474b94cb368fb0b09f6,172,"58",45,2022-03-05,2022-03-05,0.00
1,I,0xa5d25438091a16393bdcaceecffedcbf7759c99f789a92122dd60f87a3e146c4,173,"58",323,2022-03-05,2022-03-09,2.00
1,I,0xa66a24a7c1c2a5af9d34540f01b2e950167f3dd2fd2b2c50bb604c95ab7ac0d0,174,"58",573,2022-03-05,2022-03-17,3.00
1,I,0xe6016522ef3ee3a019ff0a8db3b2ea70378af0d7c98b010fcfb79b98e4708e44,175,"59",265,2022-03-05,2022-03-15,3.00
1,I,0x6a818a4f3007cdf0c520953ded35132bb32b5a22f8f3ca04261992f290988c3e,176,"59",524,2022-03-05,2022-03-09,2.00
1,I,0xb4f6c1aae3f8c897437ae02d4a5f590c9291ad968ff079e7cfe5fa7252e86158,177,"59",710,2022-03-05,2022-03-05,0.00
1,I,0x22f18e82ce0122a7299d4de581e6afefca579bd4bfde1bb5638f6482fdacbbb5,178,"60",437,2022-03-05,2022-03-16,3.00
1,I,0xd6949552aa9670dbbde5b9fe922b515ea743877e84fa9147f62eeb37c59b4fa2,179,"60",520,2022-03-05,2022-03-10,2.50
1,I,0xc54de374f601e5972cfa6c8cbba25d45026957449e26de0c20378a24fde552b9,180,"60",765,2022-03-05,2022-03-05,0.00
1,I,0x081822ab2f8af463081506d54f5f4670501ebf99455d13f9af5397dc70feca48,181,"61",342,2022-03-05,2022-03-17,3.00
1,I,0x9d6b7fa44aa768bce4e419f8e949e07cbe9e93a58f720228b29d6c0f0a8fe6a7,182,"61",580,2022-03-05,2022-03-10,2.50
1,I,0xf30dfef1e9076422bd16bfae46f74796da7cc1d55465df4f33a46f13667ce9c2,183,"61",752,2022-03-05,2022-03-11,3.00
1,I,0x8a1d80be6c3e5b7a0f1b124973e29f46164ae096d0b7af268b5dbba9032ee4af,184,"62",11,2022-03-05,2022-03-19,3.00
1,I,0x3a103366d502d74236e2b2f651ce0070248b75f773f901a3875b811468696dfa,185,"62",552,2022-03-05,2022-03-05,0.00
1,I,0x2959437240d411e16d294928eb141ae9810d78b30df99e618ce621155a454d0b,186,"62",717,2022-03-05,2022-03-17,3.00
1,I,0xcdf54f083ec9cc88719bc62fd6611a1579f6b17ee37d54dc625e17ba131c7a61,187,"63",66,2022-03-05,2022-03-17,3.00
